[17/10/2025  3:30:00,72] START RETRAIN LIGHT 
2025-10-17 03:30:02,774 | INFO | RETRAIN_UNIVERSE_SOURCE=ROSTER, INCLUDE_METALS=True, RETRAIN_ONLY=(none)
2025-10-17 03:30:02,774 | INFO | --- ODIN Retrain ---
2025-10-17 03:30:03,829 | INFO | [UNIVERSE] source=ROSTER, roster_path='C:\AUTOMAZIONE\params\strategy_roster.json', count=18, labels=['AUD/CAD', 'CHF/JPY', 'EUR/AUD', 'CAD/JPY', 'GBP/JPY', 'AUD/JPY', 'USD/JPY', 'EUR/JPY', 'NZD/JPY', 'NZD/USD', 'NZD/CAD', 'USD/SEK', 'EUR/NZD', 'AUD/CHF', 'GBP/NZD', 'USD/NOK', 'GOLD', 'SILVER']
2025-10-17 03:30:03,829 | INFO | [AUD/CAD] cache TwelveData…
2025-10-17 03:30:05,671 | INFO | [AUD/CAD] OOS FAILED — BB_MR:trades<10 (5)
2025-10-17 03:30:05,984 | INFO | [CHF/JPY] cache TwelveData…
2025-10-17 03:30:07,670 | INFO | [CHF/JPY] OOS FAILED — WEEKLY:trades<10 (1)|pf<1.05 (0.00); BB_MR:trades<10 (4)|pf<1.05 (0.40)|exp<=0 (-0.453)
2025-10-17 03:30:07,972 | INFO | [EUR/AUD] cache TwelveData…
2025-10-17 03:30:09,719 | INFO | [EUR/AUD] OOS FAILED — BB_MR:trades<10 (6)
2025-10-17 03:30:10,020 | INFO | [CAD/JPY] cache TwelveData…
2025-10-17 03:30:11,796 | INFO | [CAD/JPY] OOS FAILED — WEEKLY:trades<10 (1)|pf<1.05 (0.00); BB_MR:trades<10 (5)
2025-10-17 03:30:12,100 | INFO | [GBP/JPY] cache TwelveData…
2025-10-17 03:30:13,908 | INFO | [GBP/JPY] OOS FAILED — WEEKLY:trades<10 (1)|pf<1.05 (0.00); BB_MR:trades<10 (1)|pf<1.05 (0.00)
2025-10-17 03:30:14,214 | INFO | [AUD/JPY] cache TwelveData…
2025-10-17 03:30:15,905 | INFO | [AUD/JPY] OOS FAILED — BB_MR:trades<10 (7)
2025-10-17 03:30:16,213 | INFO | [USD/JPY] cache TwelveData…
2025-10-17 03:30:17,956 | INFO | [USD/JPY] OOS FAILED — WEEKLY:trades<10 (1)|pf<1.05 (0.00)|exp<=0 (-1.000); BB_MR:trades<10 (0)|pf<1.05 (0.00)|exp<=0 (0.000)
2025-10-17 03:30:18,260 | INFO | [EUR/JPY] cache TwelveData…
2025-10-17 03:30:19,988 | INFO | [EUR/JPY] OOS FAILED — WEEKLY:trades<10 (3); BB_MR:trades<10 (6)|pf<1.05 (0.60)|exp<=0 (-0.269)
2025-10-17 03:30:20,293 | INFO | [NZD/JPY] cache TwelveData…
2025-10-17 03:30:22,001 | INFO | [NZD/JPY] OOS FAILED — BB_MR:trades<10 (6)
2025-10-17 03:30:22,311 | INFO | [NZD/USD] cache TwelveData…
2025-10-17 03:30:24,103 | INFO | [NZD/USD] OOS FAILED — WEEKLY:trades<10 (1)|pf<1.05 (0.00)|exp<=0 (-1.000); BB_MR:trades<10 (4)|pf<1.05 (0.00)
2025-10-17 03:30:24,417 | INFO | [NZD/CAD] cache TwelveData…
2025-10-17 03:30:26,095 | INFO | [NZD/CAD] OOS FAILED — WEEKLY:trades<10 (1)|pf<1.05 (0.00)|exp<=0 (-1.000); BB_MR:trades<10 (2)
2025-10-17 03:30:26,397 | INFO | [USD/SEK] cache TwelveData…
2025-10-17 03:30:28,123 | INFO | [USD/SEK] OOS FAILED — WEEKLY:trades<10 (0)|pf<1.05 (0.00)|exp<=0 (0.000); BB_MR:trades<10 (5)
2025-10-17 03:30:28,428 | INFO | [EUR/NZD] cache TwelveData…
2025-10-17 03:30:30,251 | INFO | [EUR/NZD] OOS FAILED — WEEKLY:trades<10 (3); BB_MR:trades<10 (4)|pf<1.05 (0.50)|exp<=0 (-0.375)
2025-10-17 03:30:30,555 | INFO | [AUD/CHF] cache TwelveData…
2025-10-17 03:30:32,411 | INFO | [AUD/CHF] OOS FAILED — WEEKLY:trades<10 (1)|pf<1.05 (0.00)|exp<=0 (-0.688); BB_MR:trades<10 (6)
2025-10-17 03:30:32,718 | INFO | [GBP/NZD] cache TwelveData…
2025-10-17 03:30:34,461 | INFO | [GBP/NZD] OOS FAILED — WEEKLY:trades<10 (1)|pf<1.05 (0.00); BB_MR:trades<10 (4)
2025-10-17 03:30:34,768 | INFO | [USD/NOK] cache TwelveData…
2025-10-17 03:30:36,468 | INFO | [USD/NOK] OOS FAILED — BB_MR:trades<10 (7)
2025-10-17 03:30:36,782 | INFO | [GOLD] cache TwelveData…
2025-10-17 03:30:38,488 | INFO | [GOLD] OOS FAILED — BB_MR:pf<1.05 (0.42)|exp<=0 (-0.420)
2025-10-17 03:30:38,791 | INFO | [SILVER] cache TwelveData…
2025-10-17 03:30:40,499 | INFO | [SILVER] OOS FAILED — WEEKLY:trades<10 (2)|pf<1.05 (0.00); BB_MR:trades<10 (7)|pf<1.05 (0.41)|exp<=0 (-0.418)
2025-10-17 03:30:40,828 | INFO | [WRITE] params/current.json aggiornato.
2025-10-17 03:30:40,831 | INFO | [DUMP] retrain metrics -> C:\AUTOMAZIONE\params\retrain_metrics.json ; summary -> C:\AUTOMAZIONE\logs\last_retrain.txt
2025-10-17 03:30:41,736 | INFO | Retrain completato. Assets processati: 18, passed: 0, failed: 18
[17/10/2025  3:30:41,98] END RETRAIN LIGHT (err=0) 
