[30/09/2025 18:33:53,99] START RETRAIN LIGHT 
2025-09-30 18:33:55,365 | INFO | --- ODIN Retrain semestrale ---
2025-09-30 18:33:56,263 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-09-30 18:33:57,485 | INFO | [EUR/USD] OOS FAILED
2025-09-30 18:33:57,796 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-09-30 18:33:58,994 | INFO | [GBP/USD] OOS FAILED
2025-09-30 18:33:59,309 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-09-30 18:34:00,475 | INFO | [USD/JPY] OOS FAILED
2025-09-30 18:34:00,779 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-09-30 18:34:02,339 | INFO | [AUD/USD] OOS FAILED
2025-09-30 18:34:02,640 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-09-30 18:34:03,956 | INFO | [EUR/JPY] OOS FAILED
2025-09-30 18:34:04,273 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-09-30 18:34:05,581 | INFO | [GBP/JPY] OOS FAILED
2025-09-30 18:34:05,882 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-09-30 18:34:07,139 | INFO | [GOLD] OOS FAILED
2025-09-30 18:34:07,440 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-09-30 18:34:08,701 | INFO | [SILVER] OOS FAILED
2025-09-30 18:34:09,011 | INFO | [WRITE] params/current.json aggiornato.
2025-09-30 18:34:09,886 | INFO | Retrain completato.
[30/09/2025 18:34:10,17] END RETRAIN LIGHT (err=0) 
