[14/10/2025  3:30:00,84] START RETRAIN LIGHT 
2025-10-14 03:30:02,157 | INFO | --- ODIN Retrain semestrale ---
2025-10-14 03:30:03,116 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-10-14 03:30:04,850 | INFO | [EUR/USD] OOS FAILED
2025-10-14 03:30:05,151 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-10-14 03:30:07,054 | INFO | [GBP/USD] OOS FAILED
2025-10-14 03:30:07,358 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-10-14 03:30:08,969 | INFO | [USD/JPY] OOS FAILED
2025-10-14 03:30:09,281 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-10-14 03:30:11,014 | INFO | [AUD/USD] OOS FAILED
2025-10-14 03:30:11,333 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-10-14 03:30:12,955 | INFO | [EUR/JPY] OOS FAILED
2025-10-14 03:30:13,262 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-10-14 03:30:14,948 | INFO | [GBP/JPY] OOS FAILED
2025-10-14 03:30:15,265 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-10-14 03:30:16,797 | INFO | [GOLD] OOS FAILED
2025-10-14 03:30:17,117 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-10-14 03:30:18,775 | INFO | [SILVER] OOS FAILED
2025-10-14 03:30:19,085 | INFO | [WRITE] params/current.json aggiornato.
2025-10-14 03:30:19,964 | INFO | Retrain completato.
[14/10/2025  3:30:20,17] END RETRAIN LIGHT (err=0) 
