[04/10/2025 18:42:14,84] START RETRAIN 
2025-10-04 18:42:15,712 | INFO | --- ODIN Retrain semestrale ---
2025-10-04 18:42:16,573 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-10-04 18:42:17,780 | INFO | [EUR/USD] OOS FAILED
2025-10-04 18:42:18,082 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-10-04 18:42:19,222 | INFO | [GBP/USD] OOS FAILED
2025-10-04 18:42:19,523 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-10-04 18:42:20,641 | INFO | [USD/JPY] OOS FAILED
2025-10-04 18:42:20,942 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-10-04 18:42:22,112 | INFO | [AUD/USD] OOS FAILED
2025-10-04 18:42:22,413 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-10-04 18:42:23,602 | INFO | [EUR/JPY] OOS FAILED
2025-10-04 18:42:23,903 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-10-04 18:42:25,054 | INFO | [GBP/JPY] OOS FAILED
2025-10-04 18:42:25,355 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-10-04 18:42:26,559 | INFO | [GOLD] OOS FAILED
2025-10-04 18:42:26,860 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-10-04 18:42:28,030 | INFO | [SILVER] OOS FAILED
2025-10-04 18:42:28,347 | INFO | [WRITE] params/current.json aggiornato.
2025-10-04 18:42:29,222 | INFO | Retrain completato.
[04/10/2025 18:42:29,33] END RETRAIN 
