[10/10/2025  3:30:01,07] START RETRAIN LIGHT 
2025-10-10 03:30:02,540 | INFO | --- ODIN Retrain semestrale ---
2025-10-10 03:30:03,396 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-10-10 03:30:05,164 | INFO | [EUR/USD] OOS FAILED
2025-10-10 03:30:05,468 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-10-10 03:30:07,421 | INFO | [GBP/USD] OOS FAILED
2025-10-10 03:30:07,722 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-10-10 03:30:09,417 | INFO | [USD/JPY] OOS FAILED
2025-10-10 03:30:09,720 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-10-10 03:30:11,409 | INFO | [AUD/USD] OOS FAILED
2025-10-10 03:30:11,710 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-10-10 03:30:13,505 | INFO | [EUR/JPY] OOS FAILED
2025-10-10 03:30:13,809 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-10-10 03:30:15,490 | INFO | [GBP/JPY] OOS FAILED
2025-10-10 03:30:15,792 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-10-10 03:30:17,428 | INFO | [GOLD] OOS FAILED
2025-10-10 03:30:17,735 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-10-10 03:30:19,588 | INFO | [SILVER] OOS FAILED
2025-10-10 03:30:19,915 | INFO | [WRITE] params/current.json aggiornato.
2025-10-10 03:30:20,767 | INFO | Retrain completato.
[10/10/2025  3:30:20,95] END RETRAIN LIGHT (err=0) 
