[04/10/2025 19:07:26,09] START RETRAIN LIGHT 
2025-10-04 19:07:27,061 | INFO | --- ODIN Retrain semestrale ---
2025-10-04 19:07:27,940 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-10-04 19:07:29,077 | INFO | [EUR/USD] OOS FAILED
2025-10-04 19:07:29,379 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-10-04 19:07:30,461 | INFO | [GBP/USD] OOS FAILED
2025-10-04 19:07:30,763 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-10-04 19:07:31,890 | INFO | [USD/JPY] OOS FAILED
2025-10-04 19:07:32,193 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-10-04 19:07:33,328 | INFO | [AUD/USD] OOS FAILED
2025-10-04 19:07:33,630 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-10-04 19:07:34,776 | INFO | [EUR/JPY] OOS FAILED
2025-10-04 19:07:35,078 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-10-04 19:07:36,218 | INFO | [GBP/JPY] OOS FAILED
2025-10-04 19:07:36,520 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-10-04 19:07:37,711 | INFO | [GOLD] OOS FAILED
2025-10-04 19:07:38,013 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-10-04 19:07:39,140 | INFO | [SILVER] OOS FAILED
2025-10-04 19:07:39,449 | INFO | [WRITE] params/current.json aggiornato.
2025-10-04 19:07:40,382 | INFO | Retrain completato.
[04/10/2025 19:07:40,51] END RETRAIN LIGHT (err=0) 
