[07/10/2025  3:30:00,72] START RETRAIN LIGHT 
2025-10-07 03:30:02,067 | INFO | --- ODIN Retrain semestrale ---
2025-10-07 03:30:02,922 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-10-07 03:30:04,755 | INFO | [EUR/USD] OOS FAILED
2025-10-07 03:30:05,061 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-10-07 03:30:06,822 | INFO | [GBP/USD] OOS FAILED
2025-10-07 03:30:07,148 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-10-07 03:30:09,364 | INFO | [USD/JPY] OOS FAILED
2025-10-07 03:30:09,666 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-10-07 03:30:11,363 | INFO | [AUD/USD] OOS FAILED
2025-10-07 03:30:11,672 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-10-07 03:30:14,169 | INFO | [EUR/JPY] OOS FAILED
2025-10-07 03:30:14,504 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-10-07 03:30:16,161 | INFO | [GBP/JPY] OOS FAILED
2025-10-07 03:30:16,465 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-10-07 03:30:18,133 | INFO | [GOLD] OOS FAILED
2025-10-07 03:30:18,452 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-10-07 03:30:20,143 | INFO | [SILVER] OOS FAILED
2025-10-07 03:30:20,490 | INFO | [WRITE] params/current.json aggiornato.
2025-10-07 03:30:21,351 | INFO | Retrain completato.
[07/10/2025  3:30:21,48] END RETRAIN LIGHT (err=0) 
