[04/10/2025 18:51:53,98] START RETRAIN LIGHT 
2025-10-04 18:51:55,058 | INFO | --- ODIN Retrain semestrale ---
2025-10-04 18:51:55,963 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-10-04 18:51:57,081 | INFO | [EUR/USD] OOS FAILED
2025-10-04 18:51:57,384 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-10-04 18:51:58,508 | INFO | [GBP/USD] OOS FAILED
2025-10-04 18:51:58,809 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-10-04 18:51:59,936 | INFO | [USD/JPY] OOS FAILED
2025-10-04 18:52:00,237 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-10-04 18:52:01,350 | INFO | [AUD/USD] OOS FAILED
2025-10-04 18:52:01,652 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-10-04 18:52:02,775 | INFO | [EUR/JPY] OOS FAILED
2025-10-04 18:52:03,077 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-10-04 18:52:04,210 | INFO | [GBP/JPY] OOS FAILED
2025-10-04 18:52:04,511 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-10-04 18:52:05,673 | INFO | [GOLD] OOS FAILED
2025-10-04 18:52:05,974 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-10-04 18:52:07,127 | INFO | [SILVER] OOS FAILED
2025-10-04 18:52:07,444 | INFO | [WRITE] params/current.json aggiornato.
2025-10-04 18:52:08,315 | INFO | Retrain completato.
[04/10/2025 18:52:08,42] END RETRAIN LIGHT (err=0) 
